tank,lower,upper,init,rate_change
T1,13500,90000,13500,0.5
T2,3000,15000,6000,0.5
T3,70000,135000,125000,0.5
T4,0,0,0,0.5
T5,0,0,0,0.5
T6,0,0,0,0.5
